SITE_ID,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,EQP_ID,LOT_ID,PROD_MTRL_ID,SUB_PROD_MTRL_ID,MTRL_FACE_CD,INSP_REPT_CNT,STRIP_NO,X_VAL,Y_VAL,POS_X_VAL,POS_Y_VAL,POS_Z_VAL,DCITEM_ID,RSLT_VAL,INSP_DT,IMG_FILE_NM,INSP_FILE_NM,ATTR_1,ATTR_2,ATTR_N
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,8.451,-10.085,,Continui,0.105142,20240612130357,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,8.678,9.876,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,4.000,9.000,,Continui,0.009978994,20240612130357,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,3.900,9.000,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,11.000,0.500,,Continui,22.85671,20240612130358,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,1.300,9.000,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,6.500,9.000,,Continui,23.74124,20240612130358,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,1.300,9.000,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,-11.000,0.500,,Continui,23.9583,20240612130359,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,-1.300,9.000,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,-6.500,9.000,,Continui,24.82271,20240612130359,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,-1.300,9.000,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,-4.000,9.000,,Continui,0.006172474,20240612130359,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,-3.900,9.000,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,9.000,3.900,,Continui,0.009978994,20240612130400,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,9.000,3.900,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,9.000,6.500,,Continui,0.009978994,20240612130400,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,9.000,6.500,
SVM,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,AP-BE-01-01,,ET24401051,,Top,1,05,01,01,-9.500,4.500,,Continui,0.009978994,20240612130401,,D:\Absolics\Backup\20240613\(LotName)_(Barcode)_Gen2 #2-2 4wire_S00012_(FAIL)_AP-BE-01-01_240612130801_A.csv,-9.000,3.900,
